id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,ENDO3,p2session2data,P2,7795219760,9,15,15,1,29,1
2,ENDO3,p2session2data,P2,6670568704,21,21,21,2,58,1
3,ENDO3,p2session2data,P2,8926351742,8,8,8,2,,2
4,ENDO3,p2session2data,P2,4058237155,8,8,8,2,50,2
5,ENDO3,p2session2data,P2,6756258371,11,11,11,1,24,2
6,ENDO3,p2session2data,P2,7831336247,11,11,11,1,30,2
7,ENDO3,p2session2data,P2,7690825280,12,12,12,2,,2
8,ENDO3,p2session2data,P2,8712101346,12,12,12,2,,2
9,ENDO3,p2session2data,P2,3881123401,8,8,20,1,13,2
10,ENDO3,p2session2data,P2,7384326959,11,11,20,1,26,2
11,ENDO3,p2session2data,P2,8389108555,25,25,25,2,,2
12,ENDO3,p2session2data,P2,9989958459,25,25,25,1,38,2
13,ENDO3,p2session2data,P2,7434218148,9,29,29,2,62,2
14,ENDO3,p2session2data,P2,1718344082,9,29,29,1,7,2
15,ENDO3,p2session2data,P2,9314730668,6,6,6,2,,3
16,ENDO3,p2session2data,P2,1626437619,6,6,6,1,6,3
17,ENDO3,p2session2data,P2,8172616790,6,6,6,2,66,3
18,ENDO3,p2session2data,P2,6072885005,7,7,7,1,,3
19,ENDO3,p2session2data,P2,8550708476,8,7,7,1,,3
20,ENDO3,p2session2data,P2,7785785475,8,7,7,1,,3
21,ENDO3,p2session2data,P2,9697831352,6,6,10,1,34,4
22,ENDO3,p2session2data,P2,8977796042,10,10,10,2,,4
23,ENDO3,p2session2data,P2,2616569515,10,10,10,2,46,4
24,ENDO3,p2session2data,P2,9000579811,10,10,10,1,,4
25,ENDO3,p2session2data,P2,2280439263,9,9,9,2,45,5
26,ENDO3,p2session2data,P2,8981349743,9,9,9,2,,5
27,ENDO3,p2session2data,P2,9363333871,9,9,9,1,,5
28,ENDO3,p2session2data,P2,3220460995,9,9,9,1,12,5
29,ENDO3,p2session2data,P2,8483062261,9,9,9,1,32,5
30,ENDO3,p2session2data,P2,6341122295,10,10,30,2,56,7
31,ENDO3,p2session2data,P2,5894936328,8,30,30,1,21,7
32,ENDO3,p2session2data,P2,9705177082,5,5,30,1,35,7
33,ENDO3,p2session2data,P2,8186459480,7,30,30,2,67,7
34,ENDO3,p2session2data,P2,7750223582,14,14,30,1,,7
35,ENDO3,p2session2data,P2,8835567302,12,12,30,2,,7
36,ENDO3,p2session2data,P2,1138289888,8,30,30,1,3,7
