id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,ENDO3,p3session2data,3,9363333871,9,9,9,1,27,1
2,ENDO3,p3session2data,3,8977796042,10,10,10,1,22,1
3,ENDO3,p3session2data,3,3881123401,8,8,20,1,9,1
4,ENDO3,p3session2data,3,8389108555,25,25,25,1,11,1
5,ENDO3,p3session2data,3,1718344082,9,29,29,1,14,1
6,ENDO3,p3session2data,3,8550708476,8,7,7,1,19,2
7,ENDO3,p3session2data,3,6072885005,7,7,7,1,18,2
8,ENDO3,p3session2data,3,9314730668,6,6,6,1,15,3
9,ENDO3,p3session2data,3,1626437619,6,6,6,1,16,3
10,ENDO3,p3session2data,3,8172616790,6,6,6,1,17,3
11,ENDO3,p3session2data,3,8186459480,7,30,30,1,,6
12,ENDO3,p3session2data,3,8835567302,12,12,30,1,,6
13,ENDO3,p3session2data,3,6341122295,10,10,30,1,30,6
14,ENDO3,p3session2data,3,1138289888,8,30,30,1,,6
15,ENDO3,p3session2data,3,7750223582,14,14,30,1,,6
16,ENDO3,p3session2data,3,9705177082,5,5,30,1,,6
