id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,EXO3,p2session2data,P2,8226161289,9,9,3,1,,1
2,EXO3,p2session2data,P2,7662422993,8,16,16,1,,1
3,EXO3,p2session2data,P2,1722430142,6,18,18,1,,1
4,EXO3,p2session2data,P2,7261234010,21,21,21,1,,1
5,EXO3,p2session2data,P2,3160315934,11,24,24,1,,1
6,EXO3,p2session2data,P2,6310435231,1,29,29,1,,1
7,EXO3,p2session2data,P2,5209532547,6,6,6,1,,2
8,EXO3,p2session2data,P2,2647775137,6,6,6,1,,2
9,EXO3,p2session2data,P2,6615755344,7,7,7,2,,3
10,EXO3,p2session2data,P2,4295337579,7,7,7,2,,3
11,EXO3,p2session2data,P2,1725609459,7,7,7,1,3,3
12,EXO3,p2session2data,P2,8891592734,14,14,14,1,,3
13,EXO3,p2session2data,P2,7424388692,14,14,14,2,,3
14,EXO3,p2session2data,P2,1277023186,14,14,14,2,,3
15,EXO3,p2session2data,P2,2560820533,9,20,20,1,10,5
16,EXO3,p2session2data,P2,9764562332,9,20,20,2,,5
17,EXO3,p2session2data,P2,3695604066,20,20,20,1,19,5
18,EXO3,p2session2data,P2,8842524725,14,14,20,1,,5
19,EXO3,p2session2data,P2,5582444174,10,10,20,2,,5
20,EXO3,p2session2data,P2,9690320672,11,11,11,2,,7
21,EXO3,p2session2data,P2,6649932562,5,5,11,1,,7
22,EXO3,p2session2data,P2,2333746603,11,11,11,2,,7
23,EXO3,p2session2data,P2,7534986117,11,11,11,2,,7
24,EXO3,p2session2data,P2,8921012943,11,11,11,1,,7
25,EXO3,p2session2data,P2,5399396495,11,11,11,1,,7
26,EXO3,p2session2data,P2,9590606293,11,11,11,2,,7
27,EXO3,p2session2data,P2,4219841131,9,9,9,2,,9
28,EXO3,p2session2data,P2,8860584013,9,9,9,2,,9
29,EXO3,p2session2data,P2,2506238240,9,9,9,1,9,9
30,EXO3,p2session2data,P2,1495965046,9,9,9,2,,9
31,EXO3,p2session2data,P2,3579608844,9,9,9,2,,9
32,EXO3,p2session2data,P2,7456289782,9,9,9,2,,9
33,EXO3,p2session2data,P2,5978369555,9,9,9,2,,9
34,EXO3,p2session2data,P2,7236595963,9,9,9,1,,9
35,EXO3,p2session2data,P2,4842971870,9,9,9,2,,9
36,EXO3,p2session2data,P2,3495941446,10,10,10,2,,10
37,EXO3,p2session2data,P2,1427480966,10,10,10,2,,10
38,EXO3,p2session2data,P2,3541440800,12,12,10,1,16,10
39,EXO3,p2session2data,P2,5895487774,10,10,10,2,,10
40,EXO3,p2session2data,P2,2180606967,10,10,10,1,7,10
41,EXO3,p2session2data,P2,4736057980,10,10,10,1,,10
42,EXO3,p2session2data,P2,1447463494,10,10,10,2,,10
43,EXO3,p2session2data,P2,6283708470,10,10,10,2,,10
44,EXO3,p2session2data,P2,7617614043,10,10,10,1,,10
45,EXO3,p2session2data,P2,4391718993,10,10,10,2,,10
46,EXO3,p2session2data,P2,2401226742,7,30,30,2,,22
47,EXO3,p2session2data,P2,4451925477,8,30,30,2,,22
48,EXO3,p2session2data,P2,7122333138,10,30,30,2,,22
49,EXO3,p2session2data,P2,4891404242,10,10,30,1,,22
50,EXO3,p2session2data,P2,3694339196,7,30,30,1,18,22
51,EXO3,p2session2data,P2,1342853332,11,30,30,2,,22
52,EXO3,p2session2data,P2,4421491798,8,30,30,1,23,22
53,EXO3,p2session2data,P2,5184700064,1,30,30,1,,22
54,EXO3,p2session2data,P2,1092491001,30,30,30,2,,22
55,EXO3,p2session2data,P2,5128118102,11,11,30,1,,22
56,EXO3,p2session2data,P2,8045217504,8,8,30,1,,22
57,EXO3,p2session2data,P2,2141497070,8,8,30,1,5,22
58,EXO3,p2session2data,P2,4876820218,11,30,30,1,,22
59,EXO3,p2session2data,P2,8391276642,12,12,30,1,,22
60,EXO3,p2session2data,P2,5683846406,7,30,30,1,,22
61,EXO3,p2session2data,P2,5993994955,7,30,30,1,,22
62,EXO3,p2session2data,P2,9062315971,10,30,30,1,,22
63,EXO3,p2session2data,P2,6177834476,12,30,30,1,,22
64,EXO3,p2session2data,P2,8584914089,7,7,30,1,,22
65,EXO3,p2session2data,P2,7707347185,6,30,30,2,,22
66,EXO3,p2session2data,P2,6610758495,8,8,30,1,,22
67,EXO3,p2session2data,P2,9734671637,9,9,30,1,,22
