id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,EXO3,p3session2data,3,8226161289,9,9,3,1,1,1
2,EXO3,p3session2data,3,2647775137,6,6,6,1,,1
3,EXO3,p3session2data,3,1277023186,14,14,14,1,14,1
4,EXO3,p3session2data,3,1722430142,6,18,18,1,3,1
5,EXO3,p3session2data,3,7261234010,21,21,21,1,4,1
6,EXO3,p3session2data,3,6615755344,7,7,7,1,9,2
7,EXO3,p3session2data,3,1725609459,7,7,7,1,11,2
8,EXO3,p3session2data,3,3695604066,20,20,20,1,17,2
9,EXO3,p3session2data,3,2560820533,9,20,20,1,,2
10,EXO3,p3session2data,3,1495965046,9,9,9,1,30,3
11,EXO3,p3session2data,3,7236595963,9,9,9,1,34,3
12,EXO3,p3session2data,3,8860584013,9,9,9,1,28,3
13,EXO3,p3session2data,3,7617614043,10,10,10,1,44,3
14,EXO3,p3session2data,3,4736057980,10,10,10,1,41,3
15,EXO3,p3session2data,3,6283708470,10,10,10,1,43,3
16,EXO3,p3session2data,3,2333746603,11,11,11,1,22,3
17,EXO3,p3session2data,3,5399396495,11,11,11,1,25,3
18,EXO3,p3session2data,3,6649932562,5,5,11,1,21,3
19,EXO3,p3session2data,3,5993994955,7,30,30,1,,14
20,EXO3,p3session2data,3,9062315971,10,30,30,1,,14
21,EXO3,p3session2data,3,7707347185,6,30,30,1,,14
22,EXO3,p3session2data,3,6177834476,12,30,30,1,,14
23,EXO3,p3session2data,3,4451925477,8,30,30,1,47,14
24,EXO3,p3session2data,3,8584914089,7,7,30,1,,14
25,EXO3,p3session2data,3,4891404242,10,10,30,1,49,14
26,EXO3,p3session2data,3,4876820218,11,30,30,1,,14
27,EXO3,p3session2data,3,7122333138,10,30,30,1,48,14
28,EXO3,p3session2data,3,5683846406,7,30,30,1,,14
29,EXO3,p3session2data,3,9734671637,9,9,30,1,,14
30,EXO3,p3session2data,3,8391276642,12,12,30,1,,14
31,EXO3,p3session2data,3,3694339196,7,30,30,1,50,14
32,EXO3,p3session2data,3,6610758495,8,8,30,1,,14
