id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,EXO3,p3session3data,3,8226161289,9,9,3,1,,1
2,EXO3,p3session3data,3,8860584013,9,9,9,1,12,1
3,EXO3,p3session3data,3,4736057980,10,10,10,1,,1
4,EXO3,p3session3data,3,1277023186,14,14,14,1,3,1
5,EXO3,p3session3data,3,1722430142,6,18,18,1,,1
6,EXO3,p3session3data,3,7261234010,21,21,21,1,5,1
7,EXO3,p3session3data,3,1725609459,7,7,7,1,,2
8,EXO3,p3session3data,3,6615755344,7,7,7,1,6,2
9,EXO3,p3session3data,3,7122333138,10,30,30,1,27,6
10,EXO3,p3session3data,3,9062315971,10,30,30,1,20,6
11,EXO3,p3session3data,3,8584914089,7,7,30,1,24,6
12,EXO3,p3session3data,3,4876820218,11,30,30,1,26,6
13,EXO3,p3session3data,3,4891404242,10,10,30,1,25,6
14,EXO3,p3session3data,3,8391276642,12,12,30,1,30,6
