id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,EXO3,p3session6data,3,1725609459,7,7,7,1,2,1
2,EXO3,p3session6data,3,8860584013,9,9,9,1,3,1
3,EXO3,p3session6data,3,4736057980,10,10,10,1,4,1
4,EXO3,p3session6data,3,7122333138,10,30,30,1,,2
5,EXO3,p3session6data,3,9062315971,10,30,30,1,6,2
6,EXO3,p3session6data,3,9062315971,10,30,30,2,6,2
7,EXO3,p3session6data,3,7122333138,10,30,30,2,,2
8,EXO3,p3session6data,3,4736057980,10,10,10,2,4,1
9,EXO3,p3session6data,3,8860584013,9,9,9,2,3,1
10,EXO3,p3session6data,3,1725609459,7,7,7,2,2,1
