id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,FRST3,p2session5data,P3,7834282428,5,5,1,1
2,FRST3,p2session5data,P3,9262692452,7,7,1,1
3,FRST3,p2session5data,P3,8248647697,10,10,1,1
4,FRST3,p2session5data,P3,9456009539,12,12,1,1
5,FRST3,p2session5data,P3,3902014166,25,25,1,1
6,FRST3,p2session5data,P3,7885978277,8,8,1,2
7,FRST3,p2session5data,P3,5864903011,8,8,1,2
8,FRST3,p2session5data,P3,5318347353,9,9,1,2
9,FRST3,p2session5data,P3,9492778415,9,9,1,2
10,FRST3,p2session5data,P3,5495489703,6,6,1,3
11,FRST3,p2session5data,P3,9191058992,6,6,1,3
12,FRST3,p2session5data,P3,5905072759,6,6,1,3
13,FRST3,p2session5data,P3,4823600447,11,11,1,3
14,FRST3,p2session5data,P3,4944621495,11,11,1,3
15,FRST3,p2session5data,P3,3882032862,11,11,1,3
16,FRST3,p2session5data,P3,5924274120,7,20,1,4
17,FRST3,p2session5data,P3,6643486403,20,20,1,4
18,FRST3,p2session5data,P3,9070329436,11,20,1,4
19,FRST3,p2session5data,P3,6406771025,8,20,1,4
20,FRST3,p2session5data,P3,9720220340,9,30,1,8
21,FRST3,p2session5data,P3,6947808731,3,30,1,8
22,FRST3,p2session5data,P3,4050289723,11,30,1,8
23,FRST3,p2session5data,P3,4024506828,30,30,1,8
24,FRST3,p2session5data,P3,5238558221,6,30,1,8
25,FRST3,p2session5data,P3,8633535452,8,30,1,8
26,FRST3,p2session5data,P3,7426976779,2,30,1,8
27,FRST3,p2session5data,P3,8566721478,6,30,1,8
28,FRST3,p2session5data,P3,8566721478,6,30,2,8
29,FRST3,p2session5data,P3,6947808731,3,30,2,8
30,FRST3,p2session5data,P3,4024506828,30,30,2,8
31,FRST3,p2session5data,P3,4050289723,11,30,2,8
32,FRST3,p2session5data,P3,7426976779,2,30,2,8
33,FRST3,p2session5data,P3,5238558221,6,30,2,8
34,FRST3,p2session5data,P3,8633535452,8,30,2,8
35,FRST3,p2session5data,P3,9720220340,9,30,2,8
36,FRST3,p2session5data,P3,9070329436,11,20,2,4
37,FRST3,p2session5data,P3,6406771025,8,20,2,4
38,FRST3,p2session5data,P3,5924274120,7,20,2,4
39,FRST3,p2session5data,P3,6643486403,20,20,2,4
40,FRST3,p2session5data,P3,3882032862,11,11,2,3
41,FRST3,p2session5data,P3,4823600447,11,11,2,3
42,FRST3,p2session5data,P3,4944621495,11,11,2,3
43,FRST3,p2session5data,P3,5905072759,6,6,2,3
44,FRST3,p2session5data,P3,5495489703,6,6,2,3
45,FRST3,p2session5data,P3,9191058992,6,6,2,3
46,FRST3,p2session5data,P3,9492778415,9,9,2,2
47,FRST3,p2session5data,P3,5318347353,9,9,2,2
48,FRST3,p2session5data,P3,5864903011,8,8,2,2
49,FRST3,p2session5data,P3,7885978277,8,8,2,2
50,FRST3,p2session5data,P3,3902014166,25,25,2,1
51,FRST3,p2session5data,P3,9456009539,12,12,2,1
52,FRST3,p2session5data,P3,8248647697,10,10,2,1
53,FRST3,p2session5data,P3,9262692452,7,7,2,1
54,FRST3,p2session5data,P3,7834282428,5,5,2,1
