id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,ranking
1,NO3,p3sessiondata,P2,4465118253,3,3,3,1,1
2,NO3,p3sessiondata,P2,3844021493,4,4,4,1,1
3,NO3,p3sessiondata,P2,3712255408,5,5,5,1,1
4,NO3,p3sessiondata,P2,4907012256,12,12,12,1,1
5,NO3,p3sessiondata,P2,2926763865,13,13,13,1,1
6,NO3,p3sessiondata,P2,8591978710,14,14,15,1,1
7,NO3,p3sessiondata,P2,5023460939,5,25,16,1,1
8,NO3,p3sessiondata,P2,8991207068,22,22,22,1,1
9,NO3,p3sessiondata,P2,2591280041,26,26,26,1,1
10,NO3,p3sessiondata,P2,5307697513,7,14,14,1,2
11,NO3,p3sessiondata,P2,4672965260,14,14,14,1,2
12,NO3,p3sessiondata,P2,1803463296,8,8,8,1,3
13,NO3,p3sessiondata,P2,4570492759,8,8,8,1,3
14,NO3,p3sessiondata,P2,1078251497,8,8,8,1,3
15,NO3,p3sessiondata,P2,6505583615,9,9,18,2,3
16,NO3,p3sessiondata,P2,1409423961,11,11,18,1,3
17,NO3,p3sessiondata,P2,1514150888,11,11,18,1,3
18,NO3,p3sessiondata,P2,7846763647,25,25,25,1,3
19,NO3,p3sessiondata,P2,1192682244,9,25,25,1,3
20,NO3,p3sessiondata,P2,5925359151,25,25,25,1,3
21,NO3,p3sessiondata,P2,9723877291,7,28,28,1,3
22,NO3,p3sessiondata,P2,7648292053,21,28,28,1,3
23,NO3,p3sessiondata,P2,8581150033,14,14,28,1,3
24,NO3,p3sessiondata,P2,1678501458,6,6,6,1,4
25,NO3,p3sessiondata,P2,8002447496,6,6,6,1,4
26,NO3,p3sessiondata,P2,2649241439,6,6,6,1,4
27,NO3,p3sessiondata,P2,8280702973,6,6,6,1,4
28,NO3,p3sessiondata,P2,7039174974,20,20,20,1,4
29,NO3,p3sessiondata,P2,9676463470,10,10,20,1,4
30,NO3,p3sessiondata,P2,6476176649,8,20,20,1,4
31,NO3,p3sessiondata,P2,4024581870,9,9,20,1,4
32,NO3,p3sessiondata,P2,7675091199,9,9,9,2,6
33,NO3,p3sessiondata,P2,9970911106,9,9,9,1,6
34,NO3,p3sessiondata,P2,3542753544,9,9,9,1,6
35,NO3,p3sessiondata,P2,9136074618,9,9,9,1,6
36,NO3,p3sessiondata,P2,6094563432,9,9,9,2,6
37,NO3,p3sessiondata,P2,7892225507,9,9,9,1,6
38,NO3,p3sessiondata,P2,7456164661,11,11,11,1,8
39,NO3,p3sessiondata,P2,7531044404,11,11,11,1,8
40,NO3,p3sessiondata,P2,6285355411,11,11,11,1,8
41,NO3,p3sessiondata,P2,7086917977,11,11,11,1,8
42,NO3,p3sessiondata,P2,1495798927,11,11,11,2,8
43,NO3,p3sessiondata,P2,8918492432,11,11,11,1,8
44,NO3,p3sessiondata,P2,2329782937,11,11,11,1,8
45,NO3,p3sessiondata,P2,3735239701,11,11,11,1,8
46,NO3,p3sessiondata,P2,2058930137,10,10,10,1,9
47,NO3,p3sessiondata,P2,9565743899,10,10,10,1,9
48,NO3,p3sessiondata,P2,1054555603,1,1,10,1,9
49,NO3,p3sessiondata,P2,1780207347,10,10,10,2,9
50,NO3,p3sessiondata,P2,6157551924,8,8,10,1,9
51,NO3,p3sessiondata,P2,6418847258,10,10,10,1,9
52,NO3,p3sessiondata,P2,4239775542,10,10,10,1,9
53,NO3,p3sessiondata,P2,5367672198,2,24,10,1,9
54,NO3,p3sessiondata,P2,2457128529,10,10,10,2,9
55,NO3,p3sessiondata,P2,5769123853,9,30,30,2,26
56,NO3,p3sessiondata,P2,9481316386,12,30,30,2,26
57,NO3,p3sessiondata,P2,4277394340,10,30,30,2,26
58,NO3,p3sessiondata,P2,2732366041,13,30,30,1,26
59,NO3,p3sessiondata,P2,2021258976,7,7,30,1,26
60,NO3,p3sessiondata,P2,6086026003,9,9,30,2,26
61,NO3,p3sessiondata,P2,2719171035,8,8,30,1,26
62,NO3,p3sessiondata,P2,6963467459,8,8,30,1,26
63,NO3,p3sessiondata,P2,3192637411,8,30,30,1,26
64,NO3,p3sessiondata,P2,3393395169,9,9,30,1,26
65,NO3,p3sessiondata,P2,5464221053,7,7,30,1,26
66,NO3,p3sessiondata,P2,6697391444,10,19,30,1,26
67,NO3,p3sessiondata,P2,2684481286,13,30,30,2,26
68,NO3,p3sessiondata,P2,7333659676,8,8,30,1,26
69,NO3,p3sessiondata,P2,9740962724,11,30,30,2,26
70,NO3,p3sessiondata,P2,9355202993,12,30,30,1,26
71,NO3,p3sessiondata,P2,7061358371,8,30,30,1,26
72,NO3,p3sessiondata,P2,6644590601,22,22,30,1,26
73,NO3,p3sessiondata,P2,6761757732,20,30,30,1,26
74,NO3,p3sessiondata,P2,4495849728,7,30,30,2,26
75,NO3,p3sessiondata,P2,1913439920,12,12,30,1,26
76,NO3,p3sessiondata,P2,5831643144,10,30,30,1,26
77,NO3,p3sessiondata,P2,2979254806,11,11,30,1,26
78,NO3,p3sessiondata,P2,2732670299,8,30,30,1,26
79,NO3,p3sessiondata,P2,5553283791,10,10,30,1,26
80,NO3,p3sessiondata,P2,3026081516,13,30,30,1,26
81,NO3,p3sessiondata,P2,1913439920,12,12,30,2,26
82,NO3,p3sessiondata,P2,9740962724,11,30,30,2,26
83,NO3,p3sessiondata,P2,3393395169,9,9,30,2,26
84,NO3,p3sessiondata,P2,2732366041,13,30,30,2,26
85,NO3,p3sessiondata,P2,2684481286,13,30,30,2,26
86,NO3,p3sessiondata,P2,6644590601,22,22,30,2,26
87,NO3,p3sessiondata,P2,6086026003,9,9,30,2,26
88,NO3,p3sessiondata,P2,9355202993,12,30,30,2,26
89,NO3,p3sessiondata,P2,4495849728,7,30,30,2,26
90,NO3,p3sessiondata,P2,7333659676,8,8,30,2,26
91,NO3,p3sessiondata,P2,5769123853,9,30,30,2,26
92,NO3,p3sessiondata,P2,7061358371,8,30,30,2,26
93,NO3,p3sessiondata,P2,4277394340,10,30,30,2,26
94,NO3,p3sessiondata,P2,2719171035,8,8,30,2,26
95,NO3,p3sessiondata,P2,5464221053,7,7,30,2,26
96,NO3,p3sessiondata,P2,5553283791,10,10,30,2,26
97,NO3,p3sessiondata,P2,6963467459,8,8,30,2,26
98,NO3,p3sessiondata,P2,6697391444,10,19,30,2,26
99,NO3,p3sessiondata,P2,2732670299,8,30,30,2,26
100,NO3,p3sessiondata,P2,5831643144,10,30,30,2,26
101,NO3,p3sessiondata,P2,2979254806,11,11,30,2,26
102,NO3,p3sessiondata,P2,9481316386,12,30,30,2,26
103,NO3,p3sessiondata,P2,3026081516,13,30,30,2,26
104,NO3,p3sessiondata,P2,3192637411,8,30,30,2,26
105,NO3,p3sessiondata,P2,2021258976,7,7,30,2,26
106,NO3,p3sessiondata,P2,6761757732,20,30,30,2,26
107,NO3,p3sessiondata,P2,6418847258,10,10,10,2,9
108,NO3,p3sessiondata,P2,6157551924,8,8,10,2,9
109,NO3,p3sessiondata,P2,4239775542,10,10,10,2,9
110,NO3,p3sessiondata,P2,2058930137,10,10,10,2,9
111,NO3,p3sessiondata,P2,5367672198,2,24,10,2,9
112,NO3,p3sessiondata,P2,1780207347,10,10,10,2,9
113,NO3,p3sessiondata,P2,9565743899,10,10,10,2,9
114,NO3,p3sessiondata,P2,1054555603,1,1,10,2,9
115,NO3,p3sessiondata,P2,2457128529,10,10,10,2,9
116,NO3,p3sessiondata,P2,8918492432,11,11,11,2,8
117,NO3,p3sessiondata,P2,7456164661,11,11,11,2,8
118,NO3,p3sessiondata,P2,2329782937,11,11,11,2,8
119,NO3,p3sessiondata,P2,6285355411,11,11,11,2,8
120,NO3,p3sessiondata,P2,7531044404,11,11,11,2,8
121,NO3,p3sessiondata,P2,7086917977,11,11,11,2,8
122,NO3,p3sessiondata,P2,1495798927,11,11,11,2,8
123,NO3,p3sessiondata,P2,3735239701,11,11,11,2,8
124,NO3,p3sessiondata,P2,3542753544,9,9,9,2,6
125,NO3,p3sessiondata,P2,9970911106,9,9,9,2,6
126,NO3,p3sessiondata,P2,7892225507,9,9,9,2,6
127,NO3,p3sessiondata,P2,6094563432,9,9,9,2,6
128,NO3,p3sessiondata,P2,7675091199,9,9,9,2,6
129,NO3,p3sessiondata,P2,9136074618,9,9,9,2,6
130,NO3,p3sessiondata,P2,7039174974,20,20,20,2,4
131,NO3,p3sessiondata,P2,9676463470,10,10,20,2,4
132,NO3,p3sessiondata,P2,4024581870,9,9,20,2,4
133,NO3,p3sessiondata,P2,6476176649,8,20,20,2,4
134,NO3,p3sessiondata,P2,1678501458,6,6,6,2,4
135,NO3,p3sessiondata,P2,2649241439,6,6,6,2,4
136,NO3,p3sessiondata,P2,8280702973,6,6,6,2,4
137,NO3,p3sessiondata,P2,8002447496,6,6,6,2,4
138,NO3,p3sessiondata,P2,7648292053,21,28,28,2,3
139,NO3,p3sessiondata,P2,8581150033,14,14,28,2,3
140,NO3,p3sessiondata,P2,9723877291,7,28,28,2,3
141,NO3,p3sessiondata,P2,7846763647,25,25,25,2,3
142,NO3,p3sessiondata,P2,1192682244,9,25,25,2,3
143,NO3,p3sessiondata,P2,5925359151,25,25,25,2,3
144,NO3,p3sessiondata,P2,1514150888,11,11,18,2,3
145,NO3,p3sessiondata,P2,1409423961,11,11,18,2,3
146,NO3,p3sessiondata,P2,6505583615,9,9,18,2,3
147,NO3,p3sessiondata,P2,4570492759,8,8,8,2,3
