id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate
1,ENDO3,od7aiyxghzi22618,P2,1014935521,10,10,10,1
2,ENDO3,csp2cvcqhzi22618,P2,1022155215,7,30,12,1
3,ENDO3,nd3atmz9hzi22618,P2,1138289888,8,30,30,1
4,ENDO3,rbkjmaj1hzi22618,P2,1454831233,10,10,10,1
5,ENDO3,1cri97nthzi22618,P2,1510556244,9,20,20,1
6,ENDO3,defxz33whzi22618,P2,1626437619,6,6,6,1
7,ENDO3,l7um05d9hzi22618,P2,1718344082,9,29,29,1
8,ENDO3,a1xy24trhzi22618,P2,1800100857,7,30,30,1
9,ENDO3,7k0s887ehzi22618,P2,2256693973,10,10,10,1
10,ENDO3,2y2imp2phzi22618,P2,2870762505,8,30,30,1
11,ENDO3,gtmg8d8vhzi22618,P2,2899878322,21,21,21,1
12,ENDO3,bcww8tzihzi22618,P2,3220460995,9,9,9,1
13,ENDO3,to5mndfwhzi22618,P2,3881123401,8,8,20,1
14,ENDO3,254s8rgxhzi22618,P2,4318703524,11,11,25,1
15,ENDO3,qzb2iv8ahzi22618,P2,4418446197,11,11,11,1
16,ENDO3,n9xdk8arhzi22618,P2,4622048667,22,22,22,1
17,ENDO3,pp5ph28ahzi22618,P2,4843972528,11,11,30,1
18,ENDO3,m707w25jhzi22618,P2,5024258803,10,10,10,1
19,ENDO3,g84qgbtahzi22618,P2,5397525768,7,28,28,1
20,ENDO3,0prpcww8hzi22618,P2,5665842228,11,11,11,1
21,ENDO3,ap8xeiclhzi22618,P2,5894936328,8,30,30,1
22,ENDO3,9gq6hyoohzi22618,P2,6366275170,6,6,6,1
23,ENDO3,n3j9qo0lhzi22618,P2,6376174531,8,8,8,1
24,ENDO3,qxpupershzi22618,P2,6756258371,11,11,11,1
25,ENDO3,epi0wep9hzi22618,P2,7321219576,7,7,7,1
26,ENDO3,j10bl8qbhzi22618,P2,7384326959,11,11,20,1
27,ENDO3,qrf9obrqhzi22618,P2,7407630576,8,8,8,1
28,ENDO3,fkpu5xtlhzi22618,P2,7646821332,11,25,25,1
29,ENDO3,uztranz1hzi22618,P2,7795219760,9,15,15,1
30,ENDO3,egy7xbw2hzi22618,P2,7831336247,11,11,11,1
31,ENDO3,vszwt9a4hzi22618,P2,7858124931,10,20,20,1
32,ENDO3,1d7fmx8khzi22618,P2,8483062261,9,9,9,1
33,ENDO3,kvuhc71shzi22618,P2,9576953346,21,21,21,1
34,ENDO3,mhcp3ai3hzi22618,P2,9697831352,6,6,10,1
35,ENDO3,3fm46o8shzi22618,P2,9705177082,5,5,30,1
36,ENDO3,dqnwyc9ehzi22618,P2,9766525957,6,6,6,1
37,ENDO3,zvgoa160hzi22618,P2,9766584166,7,7,10,1
38,ENDO3,fby37w1ohzi22618,P2,9989958459,25,25,25,1
39,ENDO3,ccqzus69hzi22618,P2,1685248124,10,10,10,2
40,ENDO3,05ko5cshhzi22618,P2,1725821210,7,7,7,2
41,ENDO3,jpq87lp7hzi22618,P2,1814648942,10,10,10,2
42,ENDO3,ghjqc4owhzi22618,P2,2037043925,9,9,9,2
43,ENDO3,erdt0mehhzi22618,P2,2261620020,7,7,7,2
44,ENDO3,en3vfvfjhzi22618,P2,2270910421,9,9,9,2
45,ENDO3,hnbc1r6xhzi22618,P2,2280439263,9,9,9,2
46,ENDO3,6nvif0dyhzi22618,P2,2616569515,10,10,10,2
47,ENDO3,8dvh8zl8hzi22618,P2,3008150341,7,7,7,2
48,ENDO3,c349ztlfhzi22618,P2,3019061936,8,8,8,2
49,ENDO3,sidrnqgzhzi22618,P2,3201356802,8,30,30,2
50,ENDO3,21ieiyzehzi22618,P2,4058237155,8,8,8,2
51,ENDO3,1kpms4pyhzi22618,P2,5483072250,8,8,8,2
52,ENDO3,0meehyx1hzi22618,P2,5746549865,7,7,7,2
53,ENDO3,w9c7nlr9hzi22618,P2,5800015472,8,8,8,2
54,ENDO3,sueid7j3hzi22618,P2,5906512765,8,30,30,2
55,ENDO3,ablacb8dhzi22618,P2,6288440578,8,30,30,2
56,ENDO3,2enursuhhzi22618,P2,6341122295,10,10,30,2
57,ENDO3,t810vkwthzi22618,P2,6345250008,14,14,14,2
58,ENDO3,mgynf9e2hzi22618,P2,6670568704,21,21,21,2
59,ENDO3,0god4hxphzi22618,P2,6762880416,9,9,12,2
60,ENDO3,mckkqlnohzi22618,P2,6836416531,6,6,30,2
61,ENDO3,qwmlkg9phzi22618,P2,7193198984,14,14,14,2
62,ENDO3,4aoataxlhzi22618,P2,7434218148,9,29,29,2
63,ENDO3,lghgugfqhzi22618,P2,7690825280,12,12,12,2
