id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM3,p3session2data,3,8749843287,7,7,7,1,16,1
2,VCTM3,p3session2data,3,7778430228,8,8,8,1,23,2
3,VCTM3,p3session2data,3,1980113770,8,8,8,1,24,2
4,VCTM3,p3session2data,3,4653046425,8,8,20,1,6,2
5,VCTM3,p3session2data,3,6725039433,20,20,20,1,5,2
6,VCTM3,p3session2data,3,5896017922,26,26,26,1,9,2
7,VCTM3,p3session2data,3,7925140574,26,26,26,1,10,2
8,VCTM3,p3session2data,3,3398682869,6,6,6,1,11,3
9,VCTM3,p3session2data,3,8780493416,6,6,6,1,12,3
10,VCTM3,p3session2data,3,7285394057,6,6,6,1,13,3
11,VCTM3,p3session2data,3,4326117282,9,9,9,1,41,4
12,VCTM3,p3session2data,3,8659870355,9,9,9,1,36,4
13,VCTM3,p3session2data,3,9487939433,9,9,9,1,37,4
14,VCTM3,p3session2data,3,2780375113,9,9,9,1,42,4
15,VCTM3,p3session2data,3,4217674473,11,12,12,1,45,4
16,VCTM3,p3session2data,3,2268325067,12,12,12,1,44,4
17,VCTM3,p3session2data,3,8318144254,8,12,12,1,46,4
18,VCTM3,p3session2data,3,9847741918,12,12,12,1,48,4
19,VCTM3,p3session2data,3,3727116766,25,25,25,1,35,4
20,VCTM3,p3session2data,3,6214172108,8,25,25,1,31,4
21,VCTM3,p3session2data,3,8640489920,25,25,25,1,,4
22,VCTM3,p3session2data,3,3771112010,12,12,25,1,30,4
23,VCTM3,p3session2data,3,4255403512,10,10,10,1,52,5
24,VCTM3,p3session2data,3,5940284493,10,10,10,1,54,5
25,VCTM3,p3session2data,3,7380741490,10,10,10,1,57,5
26,VCTM3,p3session2data,3,2229247677,10,10,10,1,55,5
27,VCTM3,p3session2data,3,2092122399,10,10,10,1,58,5
28,VCTM3,p3session2data,3,6242701602,11,11,11,1,59,5
29,VCTM3,p3session2data,3,7569427615,11,11,11,1,,5
30,VCTM3,p3session2data,3,7935492887,11,11,11,1,61,5
31,VCTM3,p3session2data,3,5434840864,11,11,11,1,65,5
32,VCTM3,p3session2data,3,4904293288,11,11,11,1,62,5
33,VCTM3,p3session2data,3,4645441142,11,30,30,1,,8
34,VCTM3,p3session2data,3,1474789854,11,30,30,1,,8
35,VCTM3,p3session2data,3,7760096477,11,11,30,1,74,8
36,VCTM3,p3session2data,3,4329716890,8,30,30,1,,8
37,VCTM3,p3session2data,3,5053447158,7,30,30,1,,8
38,VCTM3,p3session2data,3,1446436501,8,30,30,1,70,8
39,VCTM3,p3session2data,3,2796030302,10,10,30,1,,8
40,VCTM3,p3session2data,3,1531254326,13,18,30,1,71,8
