id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM3,p3session4data,3,7285394057,6,6,6,1,3,1
2,VCTM3,p3session4data,3,1980113770,8,8,8,1,6,1
3,VCTM3,p3session4data,3,8659870355,9,9,9,1,7,1
4,VCTM3,p3session4data,3,2268325067,12,12,12,1,12,1
5,VCTM3,p3session4data,3,5896017922,26,26,26,1,2,1
6,VCTM3,p3session4data,3,6242701602,11,11,11,1,17,3
7,VCTM3,p3session4data,3,7935492887,11,11,11,1,15,3
8,VCTM3,p3session4data,3,7569427615,11,11,11,1,16,3
9,VCTM3,p3session4data,3,1531254326,13,18,30,1,,3
10,VCTM3,p3session4data,3,1446436501,8,30,30,1,,3
11,VCTM3,p3session4data,3,5053447158,7,30,30,1,,3
