id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM3,p3session6data,3,1446436501,8,30,30,1,4,2
2,VCTM3,p3session6data,3,5053447158,7,30,30,1,3,2
3,VCTM3,p3session6data,3,6242701602,11,11,11,1,6,3
4,VCTM3,p3session6data,3,7569427615,11,11,11,1,5,3
5,VCTM3,p3session6data,3,7935492887,11,11,11,1,7,3
6,VCTM3,p3session6data,3,7935492887,11,11,11,2,7,3
7,VCTM3,p3session6data,3,7569427615,11,11,11,2,5,3
8,VCTM3,p3session6data,3,6242701602,11,11,11,2,6,3
9,VCTM3,p3session6data,3,5053447158,7,30,30,2,3,2
10,VCTM3,p3session6data,3,1446436501,8,30,30,2,4,2
