id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,ranking
1,VCTM5,p2session2data,P2,3988386972,1,1,1,1,1
2,VCTM5,p2session2data,P2,3544402363,2,2,2,1,1
3,VCTM5,p2session2data,P2,6346546297,6,6,6,1,1
4,VCTM5,p2session2data,P2,3197686757,12,13,13,1,1
5,VCTM5,p2session2data,P2,7471887354,9,9,16,1,1
6,VCTM5,p2session2data,P2,5539516597,8,8,17,1,1
7,VCTM5,p2session2data,P2,4782109855,9,9,18,1,1
8,VCTM5,p2session2data,P2,3976234750,8,20,20,1,1
9,VCTM5,p2session2data,P2,5653889337,21,21,21,1,1
10,VCTM5,p2session2data,P2,5873698857,10,24,24,1,1
11,VCTM5,p2session2data,P2,7199699577,10,25,25,1,1
12,VCTM5,p2session2data,P2,6418046186,26,26,26,1,1
13,VCTM5,p2session2data,P2,1108876965,27,27,27,1,1
14,VCTM5,p2session2data,P2,7013104509,9,9,9,1,2
15,VCTM5,p2session2data,P2,4193453638,9,9,9,1,2
16,VCTM5,p2session2data,P2,4857792889,12,12,12,1,2
17,VCTM5,p2session2data,P2,6892546454,10,12,12,1,2
18,VCTM5,p2session2data,P2,8005340493,26,28,28,1,2
19,VCTM5,p2session2data,P2,3858788050,9,28,28,1,2
20,VCTM5,p2session2data,P2,7946397007,7,7,7,1,3
21,VCTM5,p2session2data,P2,2673650523,7,7,7,1,3
22,VCTM5,p2session2data,P2,7354804682,7,7,7,1,3
23,VCTM5,p2session2data,P2,5451087579,14,14,14,1,3
24,VCTM5,p2session2data,P2,5804000228,8,8,14,1,3
25,VCTM5,p2session2data,P2,9552935887,14,14,14,1,3
26,VCTM5,p2session2data,P2,7353253846,8,15,15,1,3
27,VCTM5,p2session2data,P2,2455872846,8,8,15,1,3
28,VCTM5,p2session2data,P2,5339660502,11,15,15,1,3
29,VCTM5,p2session2data,P2,3381560601,12,12,22,1,3
30,VCTM5,p2session2data,P2,8770838178,7,20,22,1,3
31,VCTM5,p2session2data,P2,8519255924,22,22,22,1,3
32,VCTM5,p2session2data,P2,8427998212,11,11,11,1,4
33,VCTM5,p2session2data,P2,9216377667,11,11,11,1,4
34,VCTM5,p2session2data,P2,4240800710,11,11,11,1,4
35,VCTM5,p2session2data,P2,4157132235,11,11,11,1,4
36,VCTM5,p2session2data,P2,5631239304,8,8,8,2,8
37,VCTM5,p2session2data,P2,4445149213,8,8,8,2,8
38,VCTM5,p2session2data,P2,9750850173,8,8,8,1,8
39,VCTM5,p2session2data,P2,5241179052,8,8,8,1,8
40,VCTM5,p2session2data,P2,6857460167,8,8,8,2,8
41,VCTM5,p2session2data,P2,5885426676,8,8,8,2,8
42,VCTM5,p2session2data,P2,1005243656,8,8,8,2,8
43,VCTM5,p2session2data,P2,7080211559,8,8,8,2,8
44,VCTM5,p2session2data,P2,8312786506,8,8,10,1,14
45,VCTM5,p2session2data,P2,5151657274,7,7,10,1,14
46,VCTM5,p2session2data,P2,4314239466,10,10,10,1,14
47,VCTM5,p2session2data,P2,3944356812,10,10,10,1,14
48,VCTM5,p2session2data,P2,9742143058,10,10,10,1,14
49,VCTM5,p2session2data,P2,1243027609,21,10,10,1,14
50,VCTM5,p2session2data,P2,2189621527,10,10,10,1,14
51,VCTM5,p2session2data,P2,3216338204,10,10,10,1,14
52,VCTM5,p2session2data,P2,7093242708,10,10,10,1,14
53,VCTM5,p2session2data,P2,3810395041,8,8,10,1,14
54,VCTM5,p2session2data,P2,3208106961,10,10,10,1,14
55,VCTM5,p2session2data,P2,9757974224,10,10,10,1,14
56,VCTM5,p2session2data,P2,4473165659,11,11,10,1,14
57,VCTM5,p2session2data,P2,3860850390,10,10,10,1,14
58,VCTM5,p2session2data,P2,4630110075,10,18,30,1,20
59,VCTM5,p2session2data,P2,9980426949,14,30,30,1,20
60,VCTM5,p2session2data,P2,4037847170,10,30,30,2,20
61,VCTM5,p2session2data,P2,9827094179,8,16,30,1,20
62,VCTM5,p2session2data,P2,1640232080,8,30,30,2,20
63,VCTM5,p2session2data,P2,9767384409,11,30,30,1,20
64,VCTM5,p2session2data,P2,9345446309,10,10,30,1,20
65,VCTM5,p2session2data,P2,7687077683,8,30,30,1,20
66,VCTM5,p2session2data,P2,6696707449,9,9,30,1,20
67,VCTM5,p2session2data,P2,9826256583,7,30,30,1,20
68,VCTM5,p2session2data,P2,7292309250,10,30,30,2,20
69,VCTM5,p2session2data,P2,5076996594,11,30,30,2,20
70,VCTM5,p2session2data,P2,4190989736,12,30,30,2,20
71,VCTM5,p2session2data,P2,6118225115,10,30,30,1,20
72,VCTM5,p2session2data,P2,9357092451,10,30,30,1,20
73,VCTM5,p2session2data,P2,4609495823,30,30,30,1,20
74,VCTM5,p2session2data,P2,7058786009,14,30,30,1,20
75,VCTM5,p2session2data,P2,5753584019,7,30,30,2,20
76,VCTM5,p2session2data,P2,9571267520,17,30,30,1,20
77,VCTM5,p2session2data,P2,2683313506,8,30,30,2,20
