id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM5,p3session3data,3,3988386972,1,1,1,1,1,1
2,VCTM5,p3session3data,3,6346546297,6,6,6,1,2,1
3,VCTM5,p3session3data,3,4193453638,9,9,9,1,14,1
4,VCTM5,p3session3data,3,9216377667,11,11,11,1,4,1
5,VCTM5,p3session3data,3,6892546454,10,12,12,1,15,1
6,VCTM5,p3session3data,3,3197686757,12,13,13,1,,1
7,VCTM5,p3session3data,3,9552935887,14,14,14,1,6,1
8,VCTM5,p3session3data,3,7353253846,8,15,15,1,18,1
9,VCTM5,p3session3data,3,5873698857,10,24,24,1,9,1
10,VCTM5,p3session3data,3,7199699577,10,25,25,1,,1
11,VCTM5,p3session3data,3,1108876965,27,27,27,1,12,1
12,VCTM5,p3session3data,3,8005340493,26,28,28,1,19,2
13,VCTM5,p3session3data,3,3858788050,9,28,28,1,,2
14,VCTM5,p3session3data,3,3381560601,12,12,22,1,,3
15,VCTM5,p3session3data,3,8770838178,7,20,22,1,22,3
16,VCTM5,p3session3data,3,8519255924,22,22,22,1,,3
17,VCTM5,p3session3data,3,4037847170,10,30,30,1,39,3
18,VCTM5,p3session3data,3,4190989736,12,30,30,1,41,3
19,VCTM5,p3session3data,3,9345446309,10,10,30,1,38,3
20,VCTM5,p3session3data,3,7080211559,8,8,8,1,,4
21,VCTM5,p3session3data,3,6857460167,8,8,8,1,24,4
22,VCTM5,p3session3data,3,1005243656,8,8,8,1,25,4
23,VCTM5,p3session3data,3,5631239304,8,8,8,1,26,4
24,VCTM5,p3session3data,3,7093242708,10,10,10,1,,4
25,VCTM5,p3session3data,3,4314239466,10,10,10,1,33,4
26,VCTM5,p3session3data,3,8312786506,8,8,10,1,34,4
27,VCTM5,p3session3data,3,3216338204,10,10,10,1,32,4
